Image,MLS#,Address,City,Status,Status Timestamp,Prop Type,Acres,SQFT Total,SQFTAbvGr,Rooms,Beds,Baths,Garage/Park,Built,DOM,Association Amenities,Assessed Value,Driveway Type,Price,Property Tax,Zoning,Handicap Features,Energy Features,HOA Fee Amount,HOA YN,HOA Fee Frequency,Bank Owned or Controlled Property YN,High School,Elementary School,Nearby Amenities,Swimming Pool YN,Direct Waterfront YN,Waterfront Description,Price Change Timestamp,Cooling,Heat Type,Heat Fuel Type,Intermediate School,Exterior Features,Middle Jr High School,Pool Description,Estimated Annual Heat Co,Photo
https://smartmls-assets.cdn-connectmls.com/pics/150B13AC726CE438E063D501100A6D5A/HD_1711990471865_1.JPEG,170611290,831  Wrights Crossing Rd.,Pomfret,ACTV,03/28/2024,,2.49,5021,4049,9,5,3/2,"3 Car Garage, 8 Total Spaces, Attached Garage, Under House Garage, Driveway",2005,111,,463600,"Private, Circular, Paved, Other",1195000,12401,Res,,"Generator Ready, Programmable Thermostat, Thermopane Windows",,No,,No,Woodstock Academy,Pomfret Community,"Golf Course, Health Club, Lake, Library, Medical Facilities, Private School(s), Shopping/Mall",Yes,No,Not Applicable,03/28/2024,"Central Air, Heat Pump","Heat Pump, Hydro Air","Electric, Oil, Propane",,"Covered Deck, French Doors, Grill, Gutters, Hot Tub, Lighting, Patio, Stone Wall, Underground Utilities",,"Pool House, In Ground Pool, Spa, Infinity Edge, Heated, Salt Water, Gunite",,
https://smartmls-assets.cdn-connectmls.com/pics/13E6EF714169C967E0631401100A6150/HD_1710778747717_IMG_9205.JPEG,170618024,"433  Dowd Ave. , Unit# 433",Canton,ACTV,03/23/2024,CO,,1190,1190,4,2,1/1,"0 Car Garage, 2 Total Spaces, Driveway",1969,121,,74140,,239900,2622,SB,,,280,Yes,Monthly,Yes,Per Board of Ed,Per Board of Ed,"Commuter Bus, Public Rec Facilities",No,No,Not Applicable,02/08/2024,Central Air,Hot Air,Natural Gas,Per Board of Ed,Patio,Per Board of Ed,,,
https://smartmls-assets.cdn-connectmls.com/pics/14B9A05DDA3F7640E063D501100A1720/HD_1711640242252_1.JPEG,170611321,271  Allen Ave.,Meriden,ACTV,04/02/2024,,2.78,4834,3534,12,5,3/2,"3 Car Garage, Under House Garage, Driveway, Off Street Parking",2005,88,None,395570,"Private, Asphalt",689999,13762,R-R,,,,No,,No,Per Board of Ed,Per Board of Ed,"Basketball Court, Medical Facilities, Public Transportation",No,No,Not Applicable,,Central Air,"Hot Air, Wood/Coal Stove","Propane, Wood",,"Deck, Patio, Porch, Shed, Stone Wall, Underground Sprinkler",,,,
https://smartmls-assets.cdn-connectmls.com/pics/136D10AC96CB1E15E0631401100AEBFD/HD_1710207909906_IMG_8781.JPEG,170618470,"296  Main Ave. , Unit# 17",Norwalk,ACTV,03/08/2024,CO,,1080,1080,4,2,1/1,"0 Car Garage, 2 Total Spaces, Paved, Off Street Parking",1982,53,Guest Parking,152340,,340000,3803,B2,,,417,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Commuter Bus, Health Club, Library, Medical Facilities, Park, Shopping/Mall",No,No,Beach Rights,03/08/2024,"Ceiling Fans, Central Air",Hot Air,Electric,,"Balcony, Lighting, Sidewalk, Terrace",Per Board of Ed,,,
https://smartmls-assets.cdn-connectmls.com/pics/150B13AC726CE438E063D501100A6D5A/HD_1711985788071_IMG_1677.JPEG,170613328,3  Roller Ter.,Milford,ACTV,12/04/2023,,0.41,1798,1798,8,4,2/0,"0 Car Garage, 3 Total Spaces, Paved, Off Street Parking",1920,125,,287847,"Shared, Paved, Asphalt",669000,7820,R12.,,"Storm Doors, Thermopane Windows",,No,,No,Jonathan Law,Mathewson,"Commuter Bus, Golf Course, Health Club, Library, Medical Facilities, Public Pool, Shopping/Mall, Tennis Courts",No,No,Not Applicable,02/09/2024,"Ceiling Fans, Ductless, Zoned","Baseboard, Hot Water, Zoned",Natural Gas,,"Garden Area, Gutters, Lighting, Porch-Enclosed, Porch-Wrap Around, Sidewalk, Wrap Around Deck",Harborside,,,
https://smartmls-assets.cdn-connectmls.com/pics/151018E2182BA305E0631401100A5914/HD_1712012761835_condo_baa_copy_3.JPEG,170613531,"229  Carriage Crossing Ln. , Unit# 229",Middletown,ACTV,04/03/2024,CO,,840,840,4,2,2/0,"0 Car Garage, None",1988,82,"Basketball Court, Club House, Exercise Room/Health Club, Guest Parking, Health Club, Paddle Tennis, Pool, Tennis Courts",100820,,194900,3029,PRD-2,,Thermopane Windows,400,Yes,Monthly,No,Middletown,Per Board of Ed,"Golf Course, Health Club, Library, Medical Facilities, Park, Public Transportation, Shopping/Mall",Yes,No,Not Applicable,03/22/2024,Central Air,Heat Pump,Electric,,"Sidewalk, Patio",,In Ground Pool,,
https://smartmls-assets.cdn-connectmls.com/pics/154926B1C0EE2D29E0631401100AA074/HD_1712254501582_Main.JPEG,170615212,686  Hill Rd.,Harwinton,ACTV,12/22/2023,,17.56,2246,2246,6,3,2/1,"2 Car Garage, Detached Garage",1988,108,,243960,Gravel,525000,7124,CRA-2,,,,No,,No,Per Board of Ed,Harwinton Consolidated,,No,Yes,Pond,,None,Wood/Coal Stove,Wood,,"Barn, Fruit Trees, Garden Area",,,,
https://smartmls-assets.cdn-connectmls.com/pics/0723156326A4DF2BE063D501100A92D8/HD_1696714908328_170602969_1.JPEG,24001153,"35  Deanarose Pl. , Unit# 35",Cheshire,ACTV,03/23/2024,CO,,3342,1951,5,3,2/1,"2 Car Garage, 1 Total Spaces, Attached Garage, Paved",2003,18,,208250,,449900,7307,R-20A,"Accessible Bath, Bath Grab Bars",,445,Yes,Monthly,No,Cheshire,Per Board of Ed,"Library, Medical Facilities, Park, Public Pool",No,No,,,Central Air,Gas on Gas,,Per Board of Ed,"Deck, Covered Deck",Dodd,,,
https://smartmls-assets.cdn-connectmls.com/pics/1535E17A7A6380E4E0631401100A956C/HD_1712178864044_MB1_5821_M_MLS.JPEG,170613689,168  Proprietors Xing.,New Canaan,ACTV,12/08/2023,,4.07,9587,7764,15,7,7/0,"3 Car Garage, Attached Garage",2016,122,,2090830,"Private, Paved, Crushed Stone",3995000,39600,4AC,,"Generator, Thermopane Windows",,No,,No,New Canaan,West,,No,No,Not Applicable,,"Central Air, Zoned","Hydro Air, Zoned",Propane,,"Garden Area, Patio, Underground Sprinkler, Underground Utilities",Saxe Middle,,,
https://smartmls-assets.cdn-connectmls.com/pics/14D139D96C5F121CE063D501100AE60F/HD_1711760550288_302_copper_39.JPEG,170621567,"1  Gold St. , Unit# 20E",Hartford,ACTV,02/04/2024,CO,,1133,1133,4,2,2/0,"1 Car Garage, Under House Garage",1969,64,"Elevator, Guest Parking, Security Services",54059,,249000,3727,DT-2,,,1122,Yes,Monthly,No,Hartford,Per Board of Ed,"Library, Medical Facilities, Park, Public Transportation, Walk to Bus Lines",No,No,Not Applicable,,Central Air,Steam,Other,,Patio,,,,
https://smartmls-assets.cdn-connectmls.com/pics/147F928F9C38071CE063D501100AEAE4/HD_1711388809604_Webster_front.JPEG,170614629,30 E. Village Rd.,Monroe,ACTV,12/13/2023,,1,3018,3018,14,4,3/1,"0 Car Garage, 2 Total Spaces, Attached Garage",2024,117,,45500,Crushed Stone,950000,1709,RF3,,"Energy Star Rated, Programmable Thermostat, Ridge Vents",,No,,No,Masuk,Fawn Hollow,Park,No,No,Not Applicable,,Central Air,Gas on Gas,Propane,,"Deck, French Doors",Jockey Hollow,,,
https://smartmls-assets.cdn-connectmls.com/pics/150D9499284F2353E0631401100A6739/HD_1712001740889__39A2838_HDR.JPEG,170626744,"86  Oak Ridge Dr. , Unit# 38",New Haven,ACTV,03/22/2024,CO,,710,710,4,2,1/0,"0 Car Garage, 0 Total Spaces, None",1950,24,,49980,,125000,1859,RS2,,Thermopane Windows,242,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Shopping/Mall, Walk to Bus Lines",No,No,Not Applicable,,None,Baseboard,Natural Gas,Per Board of Ed,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/154926B1C0EE2D29E0631401100AA074/HD_1712254503171_IMG_20240402_153118516.JPEG,170598232,507  Russell St.,New Haven,ACTV,09/15/2023,,0.12,1339,1339,8,4,1/0,"0 Car Garage, Other",1900,205,,100730,"Shared, Other",245000,3747,RS2,,Thermopane Windows,,No,,No,Per Board of Ed,Per Board of Ed,"Commuter Bus, Golf Course, Health Club, Library, Medical Facilities, Park, Public Transportation, Walk to Bus Lines",No,No,Not Applicable,10/26/2023,Window Unit,Hot Air,"Natural Gas, Oil",,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/159EA7CA1D6B39FCE063D501100A89C7/HD_1712624432313_IMG_9324.JPEG,170621807,"32  Haviland St. , Unit# 305",Norwalk,ACTV,04/02/2024,CO,,629,629,1,0,1/0,"0 Car Garage, 1 Total Spaces, None, Paved, Parking Lot, Unassigned Parking",1987,66,"Elevator, Health Club",149320,,279000,3717,I1,,,352,Yes,Monthly,No,Norwalk,Silvermine,,No,No,,04/02/2024,Wall Unit,Wall Unit,,,Terrace,,,,
https://smartmls-assets.cdn-connectmls.com/pics/1532BA89207973C4E0631401100A71AD/HD_1712154742594_11_Eastview_front.JPEG,24000813,247  Wood St.,Waterbury,ACTV,04/01/2024,,0.03,1024,1024,6,3,1/1,None,1917,25,,41370,,119900,2242,RM,,,,No,,No,Per Board of Ed,Per Board of Ed,,No,No,,04/01/2024,None,Hot Air,Other,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/147F928F9C38071CE063D501100AEAE4/HD_1711389839289_DJI_0443a.JPEG,170621765,"975  Meriden Rd. , Unit# 32",Waterbury,ACTV,03/06/2024,CO,,748,748,3,1,1/0,"0 Car Garage, 1 Total Spaces, None, Parking Lot, Assigned Parking",1987,34,,43680,,120000,2367,RM,,,146,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,No,No,,,None,Baseboard,Electric,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/15227A3F53D97A16E0631401100A6374/HD_1712084744229_LivingDining1bMLSFire.JPEG,170592464,200  Horizon Hl.,Southbury,ACTV,03/05/2024,,2.07,3671,3671,9,4,2/1,"3 Car Garage, Attached Garage",2023,232,,160820,Crushed Stone,979900,999999,R-60,,"Energy Star Rated, Home Energy Rating, Thermopane Windows",,No,Annually,No,Regional District 15,Per Board of Ed,"Golf Course, Health Club, Lake, Medical Facilities, Park, Shopping/Mall, Stables/Riding",No,No,Not Applicable,03/05/2024,"Central Air, Zoned",Heat Pump,Electric,,,,,,
